#GRM188R61E106KA73#,,
#2026/08/21,,
#c_acvoltage_capacitance,,
#capacitance  DC0V  25.0degC,,
AC Voltage[Vrms],Capacitance[F],
1.04,9.828123034088387E-6,
1.05,9.834597464328246E-6,
1.06,9.840897920950244E-6,
1.07,9.847023335837962E-6,
1.08,9.852972840499667E-6,
1.09,9.858745775391789E-6,
1.1,9.864341698400852E-6,
1.11,9.869760392483833E-6,
1.12,9.875001872466913E-6,
1.1300000000000001,9.880066391002683E-6,
1.1400000000000001,9.884954443685753E-6,
1.1500000000000001,9.889666773326778E-6,
1.1600000000000001,9.894204373384937E-6,
1.17,9.89856849055879E-6,
1.18,9.9027606265356E-6,
1.19,9.906782538899055E-6,
1.2,9.910636241195401E-6,
1.21,9.914324002158033E-6,
1.22,9.917848344090472E-6,
1.23,9.921212040407785E-6,
1.24,9.924418112336429E-6,
1.25,9.927469824772487E-6,
1.26,9.930370681298385E-6,
1.27,9.933124418357962E-6,
1.28,9.93573499859002E-6,
1.29,9.938206603320254E-6,
1.3,9.940543624211647E-6,
1.31,9.942750654073235E-6,
1.32,9.944832476827337E-6,
1.33,9.946794056635206E-6,
1.34,9.948640526181056E-6,
1.35,9.95037717411457E-6,
1.36,9.952009431651814E-6,
1.37,9.95354285833452E-6,
1.3800000000000001,9.95498312694789E-6,
1.3900000000000001,9.956336007596732E-6,
1.4000000000000001,9.957607350940055E-6,
1.4100000000000001,9.958803070584108E-6,
1.42,9.959929124633802E-6,
1.43,9.960991496402568E-6,
1.44,9.961996174280654E-6,
1.45,9.962949130761817E-6,
1.46,9.963856300628465E-6,
1.47,9.964723558295192E-6,
1.48,9.96555669431076E-6,
1.49,9.966361391018501E-6,
1.5,9.967143197375117E-6,
1.51,9.967907502927929E-6,
1.52,9.968659510950538E-6,
1.53,9.969404210736916E-6,
1.54,9.970146349053903E-6,
1.55,9.970890400752137E-6,
1.56,9.971640538535412E-6,
1.57,9.97240060188844E-6,
1.58,9.973174065163065E-6,
1.59,9.973964004822863E-6,
1.6,9.974773065846189E-6,
1.61,9.975603427287649E-6,
1.62,9.976456766997963E-6,
1.6300000000000001,9.977334225502303E-6,
1.6400000000000001,9.978236369036994E-6,
1.6500000000000001,9.979163151744685E-6,
1.6600000000000001,9.98011387702792E-6,
1.6700000000000002,9.981087158061121E-6,
1.68,9.98208087746103E-6,
1.69,9.983092146115529E-6,
1.7,9.984117261170918E-6,
1.71,9.9851516631776E-6,
1.72,9.986189892394182E-6,
1.73,9.987225544250005E-6,
1.74,9.988251223966113E-6,
1.75,9.989258500334606E-6,
1.76,9.99023785865646E-6,
1.77,9.991178652837723E-6,
1.78,9.992069056644184E-6,
1.79,9.992896014114411E-6,
1.8,9.993645189131263E-6,
1.81,9.99430091415178E-6,
1.82,9.994846138095524E-6,
1.83,9.995262373391332E-6,
1.84,9.995529642182488E-6,
1.85,9.995626421690332E-6,
1.86,9.995529588736266E-6,
1.87,9.995214363422209E-6,
1.8800000000000001,9.994654251969458E-6,
1.8900000000000001,9.99382098871598E-6,
1.9000000000000001,9.992684477272115E-6,
1.9100000000000001,9.991212730834716E-6,
1.9200000000000002,9.989371811659695E-6,
1.93,9.987125769693011E-6,
1.94,9.984436580360064E-6,
1.95,9.981264081513511E-6,
1.96,9.977565909539527E-6,
1.97,9.973297434622448E-6,
1.98,9.968411695167881E-6,
1.99,9.96285933138421E-6,
2.0,9.956588518022517E-6,
